Rank,Name,8-Year Graduation Rate,Number of Pell Graduates,Pell Performance Rank,Earnings Performance Rank,Net Price of Attendance for Families Below $75k Income,Social Mobility Rank,Research Rank,Service Rank,Admission Rate,Enrollment,Share of White Students,In-State Tuition Fee,Out-of-State Tuition Fee,Median Earnings of Students,Note: 
107,University of Texas–San Antonio (TX)*,51%,1856,43,264,9253,86,162,194,,787.0,0.2478,,,75072.0,
108,University of North Florida (FL)*,65%,1139,277,274,6054,72,296,209,0.7749,13862.0,0.6042,6389.0,20793.0,52114.0,
109,Rensselaer Polytechnic Institute (NY),86%,212,126,25,23078,84,59,365,0.5302,5579.0,0.4266,58526.0,58526.0,100141.0,
110,Portland State University (OR)*,52%,1743,65,121,11877,67,196,269,0.9843,15674.0,0.4992,10386.0,29286.0,54567.0,
111,Radford University (VA)*,62%,575,309,38,13337,89,304,136,0.9531,6437.0,0.634,11542.0,23624.0,52232.0,
112,Virginia Commonwealth Univ. (VA)*,68%,1337,174,255,16426,143,108,97,0.9277,20918.0,0.4119,15319.0,36657.0,54300.0,
113,Albizu University–Miami (FL),63%,53,122,299,20790,18,437,439,1.0,178.0,0.0337,12444.0,12444.0,41451.0,
114,University of San Francisco (CA),77%,396,137,70,31614,188,308,7,,,,,,,
115,Old Dominion University (VA)*,58%,1264,141,128,14200,105,180,141,0.9623,18429.0,0.4292,10800.0,30960.0,52678.0,
116,University of Texas–El Paso (TX)*,48%,1860,32,107,8658,77,185,271,0.9998,20008.0,0.0453,9744.0,25152.0,47101.0,
117,University of the Pacific (CA),75%,341,40,76,19950,107,263,120,,,,,,,No data found
